,center_id,name,address,state_name,district_name,block_name,pincode,lat,long,from,to,fee_type,sessions,timestamp
0,630856,Valiyathura CSH (COVAXIN),Valiyathura Thiruvananthapuram Kerala,Kerala,Thiruvananthapuram,Poonthura,695008,8,76,09:00:00,16:00:00,Free,"[{'session_id': '515f8ac7-6bd6-4c9e-9185-e702a83c8701', 'date': '11-05-2021', 'available_capacity': 0, 'min_age_limit': 45, 'vaccine': 'COVAXIN', 'slots': ['09:00AM-11:00AM', '11:00AM-01:00PM', '01:00PM-03:00PM', '03:00PM-04:00PM']}, {'session_id': '48ad3a3e-6898-4259-be56-987661512d79', 'date': '12-05-2021', 'available_capacity': 0, 'min_age_limit': 45, 'vaccine': 'COVAXIN', 'slots': ['09:00AM-11:00AM', '11:00AM-01:00PM', '01:00PM-03:00PM', '03:00PM-05:00PM']}, {'session_id': '37c97766-72f8-4140-a403-e824ea454115', 'date': '13-05-2021', 'available_capacity': 0, 'min_age_limit': 45, 'vaccine': 'COVAXIN', 'slots': ['09:00AM-11:00AM', '11:00AM-01:00PM', '01:00PM-03:00PM', '03:00PM-05:00PM']}, {'session_id': '87cf113a-4b17-4736-8437-1771a1abb01f', 'date': '14-05-2021', 'available_capacity': 0, 'min_age_limit': 45, 'vaccine': 'COVAXIN', 'slots': ['09:00AM-11:00AM', '11:00AM-01:00PM', '01:00PM-03:00PM', '03:00PM-05:00PM']}, {'session_id': '685b19bd-bf26-4a00-ba50-5549806073f9', 'date': '15-05-2021', 'available_capacity': 0, 'min_age_limit': 45, 'vaccine': 'COVAXIN', 'slots': ['09:00AM-11:00AM', '11:00AM-01:00PM', '01:00PM-03:00PM', '03:00PM-05:00PM']}]",2021-05-11 13:08:08.401642
1,158109,Bharathanoor PHC,Bharathannoor PHC Bharathannoor P O,Kerala,Thiruvananthapuram,Kallara,695609,8,76,09:00:00,16:00:00,Free,"[{'session_id': '245a22f0-49b9-4b27-b1f4-0a5b64991441', 'date': '11-05-2021', 'available_capacity': 0, 'min_age_limit': 45, 'vaccine': 'COVISHIELD', 'slots': ['09:00AM-11:00AM', '11:00AM-01:00PM', '01:00PM-03:00PM', '03:00PM-04:00PM']}]",2021-05-11 13:08:08.401642
2,157500,Amboori PHC,Amboori FHC Mayam P O,Kerala,Thiruvananthapuram,Vellarada,695505,8,77,09:00:00,16:00:00,Free,"[{'session_id': '1f4075e4-fac6-49cc-9b9a-394de9c6d4f7', 'date': '12-05-2021', 'available_capacity': 0, 'min_age_limit': 45, 'vaccine': 'COVISHIELD', 'slots': ['09:00AM-11:00AM', '11:00AM-01:00PM', '01:00PM-03:00PM', '03:00PM-04:00PM']}]",2021-05-11 13:08:08.401642
3,171757,Trivandrum Fort TH (COVAXIN),Fort Th Fort Thiruvananthapuram,Kerala,Thiruvananthapuram,Puthenthope,695023,8,76,09:00:00,17:00:00,Free,"[{'session_id': '349b1578-0fb5-4d95-bc35-aee748e77e94', 'date': '12-05-2021', 'available_capacity': 0, 'min_age_limit': 45, 'vaccine': 'COVAXIN', 'slots': ['09:00AM-11:00AM', '11:00AM-01:00PM', '01:00PM-03:00PM', '03:00PM-05:00PM']}, {'session_id': '8960eca4-7d64-4abb-9c7a-a3861cf81a3e', 'date': '13-05-2021', 'available_capacity': 0, 'min_age_limit': 45, 'vaccine': 'COVAXIN', 'slots': ['09:00AM-11:00AM', '11:00AM-01:00PM', '01:00PM-03:00PM', '03:00PM-05:00PM']}, {'session_id': '1008eb1e-921f-4c5a-b45e-f8358f4d826f', 'date': '14-05-2021', 'available_capacity': 0, 'min_age_limit': 45, 'vaccine': 'COVAXIN', 'slots': ['09:00AM-11:00AM', '11:00AM-01:00PM', '01:00PM-03:00PM', '03:00PM-05:00PM']}, {'session_id': '0109d10f-d522-4c71-8a46-8b2e66a74ffc', 'date': '15-05-2021', 'available_capacity': 0, 'min_age_limit': 45, 'vaccine': 'COVAXIN', 'slots': ['09:00AM-11:00AM', '11:00AM-01:00PM', '01:00PM-03:00PM', '03:00PM-05:00PM']}]",2021-05-11 13:08:08.401642
4,679041,Vakkom RHC (COVAXIN),VakkomThiruvananthapuram,Kerala,Thiruvananthapuram,Vakkom,695308,8,76,09:00:00,17:00:00,Free,"[{'session_id': '15d9cae8-1632-4826-a2ea-668c5cdf50f8', 'date': '12-05-2021', 'available_capacity': 0, 'min_age_limit': 45, 'vaccine': 'COVAXIN', 'slots': ['09:00AM-11:00AM', '11:00AM-01:00PM', '01:00PM-03:00PM', '03:00PM-05:00PM']}]",2021-05-11 13:08:08.401642
5,693283,Pangappara Old Age Home,Old Age HomePangappara,Kerala,Thiruvananthapuram,Thiruvananthapuram,695581,0,0,09:30:00,16:00:00,Free,"[{'session_id': 'ad053346-802e-4e03-9c00-df1efed7df0f', 'date': '12-05-2021', 'available_capacity': 0, 'min_age_limit': 45, 'vaccine': 'COVISHIELD', 'slots': ['09:30AM-10:30AM', '10:30AM-11:30AM', '11:30AM-12:30PM', '12:30PM-04:00PM']}, {'session_id': 'f6f1fafc-d9a4-4270-a9d3-e66ab64ba9d5', 'date': '14-05-2021', 'available_capacity': 0, 'min_age_limit': 45, 'vaccine': 'COVISHIELD', 'slots': ['10:00AM-11:00AM', '11:00AM-12:00PM', '12:00PM-01:00PM', '01:00PM-04:00PM']}, {'session_id': 'e2646e86-4bc2-4963-9d48-08d146573dec', 'date': '15-05-2021', 'available_capacity': 0, 'min_age_limit': 45, 'vaccine': 'COVISHIELD', 'slots': ['10:00AM-11:00AM', '11:00AM-12:00PM', '12:00PM-01:00PM', '01:00PM-03:30PM']}]",2021-05-11 13:08:08.401642
6,158647,Kanyakulangara CHC,Kanyakulangara CHC Vembayam P O,Kerala,Thiruvananthapuram,Kanyakulangara,695615,8,76,09:00:00,17:00:00,Free,"[{'session_id': '64959520-1e56-4aad-a1b8-db89ec29a02b', 'date': '12-05-2021', 'available_capacity': 0, 'min_age_limit': 45, 'vaccine': 'COVAXIN', 'slots': ['09:00AM-11:00AM', '11:00AM-01:00PM', '01:00PM-03:00PM', '03:00PM-05:00PM']}]",2021-05-11 13:08:08.401642
7,158472,Kallikkad New PHC(Covaxin),Kallikkad New PHC Neyyardam P O,Kerala,Thiruvananthapuram,Vellarada,695572,8,77,09:00:00,16:00:00,Free,"[{'session_id': '9789763b-8119-4c46-9da4-4dd036514fd1', 'date': '12-05-2021', 'available_capacity': 0, 'min_age_limit': 45, 'vaccine': 'COVAXIN', 'slots': ['09:00AM-11:00AM', '11:00AM-01:00PM', '01:00PM-03:00PM', '03:00PM-04:00PM']}]",2021-05-11 13:08:08.401642
8,565404,General Hospital Trivandrum 1,ThiruvananthapuramVanchiyoor P.O,Kerala,Thiruvananthapuram,Thiruvananthapuram,695035,8,76,09:00:00,17:00:00,Free,"[{'session_id': '6ab415ad-ad3b-4df1-8e66-5055a5813f03', 'date': '12-05-2021', 'available_capacity': 0, 'min_age_limit': 45, 'vaccine': 'COVISHIELD', 'slots': ['09:00AM-11:00AM', '11:00AM-01:00PM', '01:00PM-03:00PM', '03:00PM-05:00PM']}]",2021-05-11 13:08:08.401642
9,171476,Neyyattinkara GH,Neyyattinkara Gh Neyyattinkara P O,Kerala,Thiruvananthapuram,Perumkadavila,695121,8,77,09:00:00,17:00:00,Free,"[{'session_id': 'cf3aa226-b2a5-4c15-b9c4-8c197069df52', 'date': '12-05-2021', 'available_capacity': 0, 'min_age_limit': 45, 'vaccine': 'COVISHIELD', 'slots': ['09:00AM-11:00AM', '11:00AM-01:00PM', '01:00PM-03:00PM', '03:00PM-05:00PM']}]",2021-05-11 13:08:08.401642
