,center_id,name,address,state_name,district_name,block_name,pincode,lat,long,from,to,fee_type,sessions,vaccine_fees,timestamp
0,418246,Narayanappasetty Palya UPHC,"1st Main,12th Cross,BTM 2nd Stage, N S Palya",Karnataka,BBMP,South,560076,0,0,09:00:00,16:00:00,Free,"[{'session_id': '17e3dbb0-5777-4bac-a3c5-ccc296eb0f20', 'date': '09-05-2021', 'available_capacity': 0, 'min_age_limit': 45, 'vaccine': 'COVISHIELD', 'slots': ['09:00AM-11:00AM', '11:00AM-01:00PM', '01:00PM-03:00PM', '03:00PM-04:00PM']}]",,2021-05-09 01:58:38.193096
1,677577,Narayanappa Settypalya Covaxin,"1st Main,12 Cross,BTM 2ND STAGE NS PALYA",Karnataka,BBMP,South,560076,0,1,09:00:00,16:00:00,Free,"[{'session_id': '9be393d1-cee7-484a-ab71-aaac899b301b', 'date': '09-05-2021', 'available_capacity': 0, 'min_age_limit': 45, 'vaccine': 'COVAXIN', 'slots': ['09:00AM-11:00AM', '11:00AM-01:00PM', '01:00PM-03:00PM', '03:00PM-04:00PM']}]",,2021-05-09 01:58:38.193096
2,566035,APOLLO HOSPITAL 1,Imperial Hospital Research Centre Limited,Karnataka,BBMP,Bommanahalli,560076,12,77,09:00:00,15:00:00,Paid,"[{'session_id': '44724440-7b96-40b3-9691-5604a8ec3e9c', 'date': '10-05-2021', 'available_capacity': 0, 'min_age_limit': 45, 'vaccine': 'COVISHIELD', 'slots': ['09:00AM-10:00AM', '10:00AM-11:00AM', '11:00AM-12:00PM', '12:00PM-03:00PM']}, {'session_id': '1767e565-af33-4e84-b489-dbe5455c7584', 'date': '10-05-2021', 'available_capacity': 0, 'min_age_limit': 18, 'vaccine': 'COVISHIELD', 'slots': ['09:00AM-11:00AM', '11:00AM-01:00PM', '01:00PM-03:00PM', '03:00PM-04:00PM']}, {'session_id': '94a6a4a0-6fbe-4ec1-a331-1febbe1cc8d8', 'date': '11-05-2021', 'available_capacity': 0, 'min_age_limit': 18, 'vaccine': 'COVISHIELD', 'slots': ['09:00AM-11:00AM', '11:00AM-01:00PM', '01:00PM-03:00PM', '03:00PM-04:00PM']}, {'session_id': '51afa44d-6a85-4ff9-be3a-ee4e9cd71636', 'date': '11-05-2021', 'available_capacity': 0, 'min_age_limit': 45, 'vaccine': 'COVISHIELD', 'slots': ['09:00AM-10:00AM', '10:00AM-11:00AM', '11:00AM-12:00PM', '12:00PM-03:00PM']}, {'session_id': '5ddda634-6709-4a1b-b210-04125b01a24e', 'date': '12-05-2021', 'available_capacity': 0, 'min_age_limit': 18, 'vaccine': 'COVISHIELD', 'slots': ['09:00AM-11:00AM', '11:00AM-01:00PM', '01:00PM-03:00PM', '03:00PM-04:00PM']}, {'session_id': '387f9acd-548d-457a-ad85-fef0d695204c', 'date': '13-05-2021', 'available_capacity': 0, 'min_age_limit': 18, 'vaccine': 'COVISHIELD', 'slots': ['09:00AM-11:00AM', '11:00AM-01:00PM', '01:00PM-03:00PM', '03:00PM-04:00PM']}, {'session_id': 'aaf35c5a-dbd8-45cc-9d69-b7b7c3a8c8b6', 'date': '14-05-2021', 'available_capacity': 0, 'min_age_limit': 18, 'vaccine': 'COVISHIELD', 'slots': ['09:00AM-11:00AM', '11:00AM-01:00PM', '01:00PM-03:00PM', '03:00PM-04:00PM']}]","[{'vaccine': 'COVISHIELD', 'fee': '850'}]",2021-05-09 01:58:38.193096
0,418246,Narayanappasetty Palya UPHC,"1st Main,12th Cross,BTM 2nd Stage, N S Palya",Karnataka,BBMP,South,560076,0,0,09:00:00,16:00:00,Free,"[{'session_id': '17e3dbb0-5777-4bac-a3c5-ccc296eb0f20', 'date': '09-05-2021', 'available_capacity': 0, 'min_age_limit': 45, 'vaccine': 'COVISHIELD', 'slots': ['09:00AM-11:00AM', '11:00AM-01:00PM', '01:00PM-03:00PM', '03:00PM-04:00PM']}]",,2021-05-09 02:00:46.555475
1,677577,Narayanappa Settypalya Covaxin,"1st Main,12 Cross,BTM 2ND STAGE NS PALYA",Karnataka,BBMP,South,560076,0,1,09:00:00,16:00:00,Free,"[{'session_id': '9be393d1-cee7-484a-ab71-aaac899b301b', 'date': '09-05-2021', 'available_capacity': 0, 'min_age_limit': 45, 'vaccine': 'COVAXIN', 'slots': ['09:00AM-11:00AM', '11:00AM-01:00PM', '01:00PM-03:00PM', '03:00PM-04:00PM']}]",,2021-05-09 02:00:46.555475
2,566035,APOLLO HOSPITAL 1,Imperial Hospital Research Centre Limited,Karnataka,BBMP,Bommanahalli,560076,12,77,09:00:00,15:00:00,Paid,"[{'session_id': '44724440-7b96-40b3-9691-5604a8ec3e9c', 'date': '10-05-2021', 'available_capacity': 0, 'min_age_limit': 45, 'vaccine': 'COVISHIELD', 'slots': ['09:00AM-10:00AM', '10:00AM-11:00AM', '11:00AM-12:00PM', '12:00PM-03:00PM']}, {'session_id': '1767e565-af33-4e84-b489-dbe5455c7584', 'date': '10-05-2021', 'available_capacity': 0, 'min_age_limit': 18, 'vaccine': 'COVISHIELD', 'slots': ['09:00AM-11:00AM', '11:00AM-01:00PM', '01:00PM-03:00PM', '03:00PM-04:00PM']}, {'session_id': '94a6a4a0-6fbe-4ec1-a331-1febbe1cc8d8', 'date': '11-05-2021', 'available_capacity': 0, 'min_age_limit': 18, 'vaccine': 'COVISHIELD', 'slots': ['09:00AM-11:00AM', '11:00AM-01:00PM', '01:00PM-03:00PM', '03:00PM-04:00PM']}, {'session_id': '51afa44d-6a85-4ff9-be3a-ee4e9cd71636', 'date': '11-05-2021', 'available_capacity': 0, 'min_age_limit': 45, 'vaccine': 'COVISHIELD', 'slots': ['09:00AM-10:00AM', '10:00AM-11:00AM', '11:00AM-12:00PM', '12:00PM-03:00PM']}, {'session_id': '5ddda634-6709-4a1b-b210-04125b01a24e', 'date': '12-05-2021', 'available_capacity': 0, 'min_age_limit': 18, 'vaccine': 'COVISHIELD', 'slots': ['09:00AM-11:00AM', '11:00AM-01:00PM', '01:00PM-03:00PM', '03:00PM-04:00PM']}, {'session_id': '387f9acd-548d-457a-ad85-fef0d695204c', 'date': '13-05-2021', 'available_capacity': 0, 'min_age_limit': 18, 'vaccine': 'COVISHIELD', 'slots': ['09:00AM-11:00AM', '11:00AM-01:00PM', '01:00PM-03:00PM', '03:00PM-04:00PM']}, {'session_id': 'aaf35c5a-dbd8-45cc-9d69-b7b7c3a8c8b6', 'date': '14-05-2021', 'available_capacity': 0, 'min_age_limit': 18, 'vaccine': 'COVISHIELD', 'slots': ['09:00AM-11:00AM', '11:00AM-01:00PM', '01:00PM-03:00PM', '03:00PM-04:00PM']}]","[{'vaccine': 'COVISHIELD', 'fee': '850'}]",2021-05-09 02:00:46.555475
0,418246,Narayanappasetty Palya UPHC,"1st Main,12th Cross,BTM 2nd Stage, N S Palya",Karnataka,BBMP,South,560076,0,0,09:00:00,16:00:00,Free,"[{'session_id': '17e3dbb0-5777-4bac-a3c5-ccc296eb0f20', 'date': '09-05-2021', 'available_capacity': 0, 'min_age_limit': 45, 'vaccine': 'COVISHIELD', 'slots': ['09:00AM-11:00AM', '11:00AM-01:00PM', '01:00PM-03:00PM', '03:00PM-04:00PM']}]",,2021-05-09 02:02:51.083931
1,677577,Narayanappa Settypalya Covaxin,"1st Main,12 Cross,BTM 2ND STAGE NS PALYA",Karnataka,BBMP,South,560076,0,1,09:00:00,16:00:00,Free,"[{'session_id': '9be393d1-cee7-484a-ab71-aaac899b301b', 'date': '09-05-2021', 'available_capacity': 0, 'min_age_limit': 45, 'vaccine': 'COVAXIN', 'slots': ['09:00AM-11:00AM', '11:00AM-01:00PM', '01:00PM-03:00PM', '03:00PM-04:00PM']}]",,2021-05-09 02:02:51.083931
2,566035,APOLLO HOSPITAL 1,Imperial Hospital Research Centre Limited,Karnataka,BBMP,Bommanahalli,560076,12,77,09:00:00,15:00:00,Paid,"[{'session_id': '44724440-7b96-40b3-9691-5604a8ec3e9c', 'date': '10-05-2021', 'available_capacity': 0, 'min_age_limit': 45, 'vaccine': 'COVISHIELD', 'slots': ['09:00AM-10:00AM', '10:00AM-11:00AM', '11:00AM-12:00PM', '12:00PM-03:00PM']}, {'session_id': '1767e565-af33-4e84-b489-dbe5455c7584', 'date': '10-05-2021', 'available_capacity': 0, 'min_age_limit': 18, 'vaccine': 'COVISHIELD', 'slots': ['09:00AM-11:00AM', '11:00AM-01:00PM', '01:00PM-03:00PM', '03:00PM-04:00PM']}, {'session_id': '94a6a4a0-6fbe-4ec1-a331-1febbe1cc8d8', 'date': '11-05-2021', 'available_capacity': 0, 'min_age_limit': 18, 'vaccine': 'COVISHIELD', 'slots': ['09:00AM-11:00AM', '11:00AM-01:00PM', '01:00PM-03:00PM', '03:00PM-04:00PM']}, {'session_id': '51afa44d-6a85-4ff9-be3a-ee4e9cd71636', 'date': '11-05-2021', 'available_capacity': 0, 'min_age_limit': 45, 'vaccine': 'COVISHIELD', 'slots': ['09:00AM-10:00AM', '10:00AM-11:00AM', '11:00AM-12:00PM', '12:00PM-03:00PM']}, {'session_id': '5ddda634-6709-4a1b-b210-04125b01a24e', 'date': '12-05-2021', 'available_capacity': 0, 'min_age_limit': 18, 'vaccine': 'COVISHIELD', 'slots': ['09:00AM-11:00AM', '11:00AM-01:00PM', '01:00PM-03:00PM', '03:00PM-04:00PM']}, {'session_id': '387f9acd-548d-457a-ad85-fef0d695204c', 'date': '13-05-2021', 'available_capacity': 0, 'min_age_limit': 18, 'vaccine': 'COVISHIELD', 'slots': ['09:00AM-11:00AM', '11:00AM-01:00PM', '01:00PM-03:00PM', '03:00PM-04:00PM']}, {'session_id': 'aaf35c5a-dbd8-45cc-9d69-b7b7c3a8c8b6', 'date': '14-05-2021', 'available_capacity': 0, 'min_age_limit': 18, 'vaccine': 'COVISHIELD', 'slots': ['09:00AM-11:00AM', '11:00AM-01:00PM', '01:00PM-03:00PM', '03:00PM-04:00PM']}]","[{'vaccine': 'COVISHIELD', 'fee': '850'}]",2021-05-09 02:02:51.083931
0,418246,Narayanappasetty Palya UPHC,"1st Main,12th Cross,BTM 2nd Stage, N S Palya",Karnataka,BBMP,South,560076,0,0,09:00:00,16:00:00,Free,"[{'session_id': '17e3dbb0-5777-4bac-a3c5-ccc296eb0f20', 'date': '09-05-2021', 'available_capacity': 0, 'min_age_limit': 45, 'vaccine': 'COVISHIELD', 'slots': ['09:00AM-11:00AM', '11:00AM-01:00PM', '01:00PM-03:00PM', '03:00PM-04:00PM']}]",,2021-05-09 02:05:13.009414
